"Barrio"," Precio"
"Núñez","890400"
"Chacarita","878800"
"Belgrano","858700"
"Palermo","854500"
"Villa Devoto","849800"
"Villa Urquiza","846900"
"Coghlan","838800"
"Villa Ortúzar","830400"
"Colegiales","822200"
"Saavedra","794000"
"Recoleta","784900"
"Villa Crespo","781400"
"Villa Pueyrredón","776700"
"Caballito","774700"
"Parque Chacabuco","769900"
"Almagro","766200"
"Mataderos","753700"
"Villa Luro","752000"
"San Telmo","751200"
"Boedo","743700"
"Villa del Parque","721900"
"Retiro","717900"
"San Cristóbal","714800"
"Barracas","699200"
"Villa General Mitre","686300"
"San Nicolás","682000"
"Parque Patricios","679800"
"Flores","675300"
"Santa Rita","672700"
"Balvanera","662100"
"Monserrat","658400"
"Floresta","642500"
"Vélez Sarsfield","609500"
"Constitución","592800"
"Villa Lugano","558700"
